date,uk inflation,uk house prices,uk cost of living,uk housing shortage
26/09/2021,28,29,11,1
03/10/2021,40,30,10,0
10/10/2021,35,27,9,0
17/10/2021,38,26,11,2
24/10/2021,34,24,10,0
31/10/2021,28,26,8,0
07/11/2021,36,22,9,0
14/11/2021,46,23,10,0
21/11/2021,28,21,11,0
28/11/2021,31,22,8,0
05/12/2021,34,23,8,0
12/12/2021,48,20,8,0
19/12/2021,27,18,8,1
26/12/2021,22,26,28,0
02/01/2022,40,27,12,0
09/01/2022,52,23,16,0
16/01/2022,69,25,16,0
23/01/2022,48,24,19,1
30/01/2022,59,32,18,0
06/02/2022,51,38,16,1
13/02/2022,51,25,19,0
20/02/2022,42,24,16,0
27/02/2022,49,25,13,0
06/03/2022,49,31,20,1
13/03/2022,53,26,19,0
20/03/2022,63,29,24,0
27/03/2022,52,28,18,0
03/04/2022,43,26,21,0
10/04/2022,58,24,22,0
17/04/2022,43,28,20,0
24/04/2022,49,28,21,1
01/05/2022,60,30,19,0
08/05/2022,53,35,22,0
15/05/2022,87,37,25,0
22/05/2022,53,31,41,0
29/05/2022,42,28,27,0
05/06/2022,56,29,31,0
12/06/2022,68,35,36,0
19/06/2022,88,33,33,0
26/06/2022,50,36,31,1
03/07/2022,57,31,37,1
10/07/2022,56,27,59,0
17/07/2022,66,29,42,1
24/07/2022,51,28,32,0
31/07/2022,62,46,33,0
07/08/2022,54,40,39,1
14/08/2022,83,41,39,0
21/08/2022,100,45,52,0
28/08/2022,71,42,59,1
04/09/2022,77,32,63,0
